"","state","county","percent_of_adults_with_less_than_a_high_school_diploma_2014_18","percent_of_adults_with_a_high_school_diploma_only_2014_18","percent_of_adults_completing_some_college_or_associates_degree_2014_18","percent_of_adults_with_a_bachelors_degree_or_higher_2014_18","state_fips_code","county_fips_code"
"353","AL","Morgan",16.7,29.6,32,21.7,47,129
"354","AL","Morgan",16.7,29.6,32,21.7,49,29
"355","AL","Morgan",16.7,29.6,32,21.7,54,65
"356","AL","Perry",21.9,39.4,22.9,15.7,1,105
"357","AL","Perry",21.9,39.4,22.9,15.7,5,105
"358","AL","Perry",21.9,39.4,22.9,15.7,17,145
"359","AL","Perry",21.9,39.4,22.9,15.7,18,123
"360","AL","Perry",21.9,39.4,22.9,15.7,21,193
"361","AL","Perry",21.9,39.4,22.9,15.7,28,111
"362","AL","Perry",21.9,39.4,22.9,15.7,29,157
"363","AL","Perry",21.9,39.4,22.9,15.7,39,127
"364","AL","Perry",21.9,39.4,22.9,15.7,42,99
"365","AL","Perry",21.9,39.4,22.9,15.7,47,135
"366","AL","Pickens",19.4,36.7,30.4,13.5,1,107
"367","AL","Pickens",19.4,36.7,30.4,13.5,13,227
"368","AL","Pickens",19.4,36.7,30.4,13.5,45,77
"369","AL","Pike",19,33.3,24.2,23.6,1,109
"370","AL","Pike",19,33.3,24.2,23.6,5,109
"371","AL","Pike",19,33.3,24.2,23.6,13,231
"372","AL","Pike",19,33.3,24.2,23.6,17,149
"373","AL","Pike",19,33.3,24.2,23.6,18,125
"374","AL","Pike",19,33.3,24.2,23.6,21,195
"375","AL","Pike",19,33.3,24.2,23.6,28,113
"376","AL","Pike",19,33.3,24.2,23.6,29,163
"377","AL","Pike",19,33.3,24.2,23.6,39,131
"378","AL","Pike",19,33.3,24.2,23.6,42,103
"379","AL","Randolph",21.2,36.3,27.5,14.9,1,111
"380","AL","Randolph",21.2,36.3,27.5,14.9,5,121
"381","AL","Randolph",21.2,36.3,27.5,14.9,13,243
"382","AL","Randolph",21.2,36.3,27.5,14.9,17,157
"383","AL","Randolph",21.2,36.3,27.5,14.9,18,135
"384","AL","Randolph",21.2,36.3,27.5,14.9,29,175
"385","AL","Randolph",21.2,36.3,27.5,14.9,37,151
"386","AL","Randolph",21.2,36.3,27.5,14.9,54,83
"387","AL","Russell",16.7,32.3,34.5,16.5,1,113
"388","AL","Russell",16.7,32.3,34.5,16.5,20,167
"389","AL","Russell",16.7,32.3,34.5,16.5,21,207
"390","AL","Russell",16.7,32.3,34.5,16.5,51,167
"391","AL","St.",15.2,36,32.3,16.5,NA,NA
"392","AL","Shelby",7.8,20.3,29.7,42.1,1,117
"393","AL","Shelby",7.8,20.3,29.7,42.1,17,173
"394","AL","Shelby",7.8,20.3,29.7,42.1,18,145
"395","AL","Shelby",7.8,20.3,29.7,42.1,19,165
"396","AL","Shelby",7.8,20.3,29.7,42.1,21,211
