"","state","county","percent_of_adults_with_less_than_a_high_school_diploma_2014_18","percent_of_adults_with_a_high_school_diploma_only_2014_18","percent_of_adults_completing_some_college_or_associates_degree_2014_18","percent_of_adults_with_a_bachelors_degree_or_higher_2014_18"
"1883","NY","Dutchess County",9.5,26.2,29.1,35.2
"1884","NY","Erie County",8.6,27.7,30,33.7
"1885","NY","Essex County",8.9,32.9,30.7,27.6
"1886","NY","Franklin County",13.2,37.6,29.8,19.4
"1887","NY","Fulton County",12.6,35.7,33.9,17.8
"1888","NY","Genesee County",7.9,36.6,33.9,21.5
"1889","NY","Greene County",12.8,38.2,27,22.1
"1890","NY","Hamilton County",17.4,28.5,34.8,19.3
"1891","NY","Herkimer County",10.1,37,32,21
"1892","NY","Jefferson County",8.9,34,34.8,22.3
"1893","NY","Kings County",18.4,25.6,19.5,36.5
"1894","NY","Lewis County",10.2,46.1,27.4,16.3
"1895","NY","Livingston County",10.3,32.9,31.4,25.4
"1896","NY","Madison County",8.8,34,30.2,27
"1897","NY","Monroe County",9.7,24,28.7,37.7
"1898","NY","Montgomery County",14.2,35.2,33.2,17.5
"1899","NY","Nassau County",8.8,23,23,45.2
"1900","NY","New York County",13,12.4,13.7,60.8
"1901","NY","Niagara County",8.8,34.2,33.2,23.8
"1902","NY","Oneida County",11.4,32.9,31,24.7
"1903","NY","Onondaga County",9.3,25.3,30,35.5
"1904","NY","Ontario County",6.6,26.8,32.2,34.5
"1905","NY","Orange County",10.3,29.7,30.3,29.8
"1906","NY","Orleans County",12.9,38.8,32.4,15.9
"1907","NY","Oswego County",12.2,37.6,31.5,18.6
"1908","NY","Otsego County",8.8,32,28.3,30.9
"1909","NY","Putnam County",7,26.9,26.2,39.9
"1910","NY","Queens County",18.5,27.6,22.4,31.5
"1911","NY","Rensselaer County",8.4,29.1,32.4,30.1
"1912","NY","Richmond County",11.5,30.9,24.6,33
"1913","NY","Rockland County",12.1,22.5,24.8,40.6
"1914","NY","St. Lawrence County",11.3,36.9,28.2,23.6
"1915","NY","Saratoga County",5.9,24.5,28.2,41.4
"1916","NY","Schenectady County",9.7,29.3,29.6,31.4
"1917","NY","Schoharie County",10.4,36.9,30.4,22.3
"1918","NY","Schuyler County",10.7,36.5,30.5,22.3
"1919","NY","Seneca County",14.6,34.9,29.6,20.9
"1920","NY","Steuben County",10,37.4,29.5,23.1
"1921","NY","Suffolk County",9.6,27.9,26.9,35.6
"1922","NY","Sullivan County",13.8,33.6,29.4,23.2
"1923","NY","Tioga County",9.2,36.1,29.2,25.5
"1924","NY","Tompkins County",5.8,19.4,22.1,52.7
"1925","NY","Ulster County",9.5,29.8,28.6,32.2
"1926","NY","Warren County",8.3,31.8,29.8,30
"1927","NY","Washington County",12.3,38.2,29.1,20.4
"1928","NY","Wayne County",10.6,34.6,32.6,22.3
"1929","NY","Westchester County",12.2,19.6,20,48.2
"1930","NY","Wyoming County",10.4,40.7,32.4,16.5
"1931","NY","Yates County",13.8,34,27.8,24.4
"1932","NC","North Carolina",12.6,25.9,31,30.5
"1933","NC","Alamance County",14.5,27.6,34,24
"1934","NC","Alexander County",18.4,38.6,28.3,14.7
"1935","NC","Alleghany County",23.4,29.5,30.5,16.7
"1936","NC","Anson County",19.5,41.5,29.5,9.6
"1937","NC","Ashe County",15.8,32.3,32.9,19
"1938","NC","Avery County",17.7,29.7,32,20.6
"1939","NC","Beaufort County",12.4,33.6,34.6,19.4
"1940","NC","Bertie County",21.3,38,27.3,13.4
"1941","NC","Bladen County",19.9,33.4,31.6,15.1
"1942","NC","Brunswick County",9.6,28.6,33.1,28.6
"1943","NC","Buncombe County",9,23.4,28.4,39.2
"1944","NC","Burke County",19.1,30.5,33.8,16.6
"1945","NC","Cabarrus County",10,25.2,33.7,31.2
"1946","NC","Caldwell County",20.3,32.5,32,15.3
"1947","NC","Camden County",14.4,28.9,38.8,17.9
"1948","NC","Carteret County",8.9,25.1,37.6,28.4
"1949","NC","Caswell County",20.5,33.3,30.7,15.5
"1950","NC","Catawba County",14.8,30.6,32.7,21.9
"1951","NC","Chatham County",11.8,21.4,25.5,41.3
"1952","NC","Cherokee County",13.7,34.6,32.4,19.2
"1953","NC","Chowan County",16,34.3,30,19.8
"1954","NC","Clay County",11.5,34.2,31.5,22.8
"1955","NC","Cleveland County",16,34.7,31.9,17.4
"1956","NC","Columbus County",18.4,34.7,33.8,13.1
"1957","NC","Craven County",11.8,25.9,36.6,25.7
"1958","NC","Cumberland County",9.3,25.5,40.2,25
"1959","NC","Currituck County",10.8,27.7,38.4,23.1
"1960","NC","Dare County",6.7,23.2,37.1,33
"1961","NC","Davidson County",16.6,33,31.9,18.5
"1962","NC","Davie County",13.3,31.4,32.4,22.9
"1963","NC","Duplin County",25.8,32.5,30.6,11.1
"1964","NC","Durham County",11.6,17.3,23.6,47.5
"1965","NC","Edgecombe County",20.3,37.3,29.8,12.7
"1966","NC","Forsyth County",11.2,25.6,29.3,33.8
"1967","NC","Franklin County",15.9,29.5,33.4,21.3
"1968","NC","Gaston County",15.3,30.8,33.3,20.6
"1969","NC","Gates County",13.7,36.3,35.5,14.4
"1970","NC","Graham County",19,37.2,30.2,13.5
"1971","NC","Granville County",15.8,31.3,30.6,22.3
"1972","NC","Greene County",25.9,32.5,31.1,10.5
"1973","NC","Guilford County",10.9,23.8,30.1,35.3
"1974","NC","Halifax County",22.5,37.8,25.2,14.4
"1975","NC","Harnett County",13.7,29.9,35.7,20.7
"1976","NC","Haywood County",11.9,26.5,36.6,25
"1977","NC","Henderson County",10.1,24.3,33.8,31.8
